Date,Unemployment,Interest rate,Inflation,Money supply,Price Index,KOSPI,Housholds,Completion,Land price,Loan interest,Unsold home,Volume,House_price_index
2007년 01월,3.6,4.9,2.3,11.3,80.6,1379.3,3984534,1530,70.3,6.1,697,6353,71.8
2007년 02월,3.7,5,2.5,11.5,81.2,1434.9,3990129,794,70.6,6.2,590,4403,72
2007년 03월,3.5,4.9,2.6,11.5,81.7,1431.6,3995725,1888,70.9,6.2,687,5597,72.3
2007년 04월,3.4,5,2.7,11.1,82,1517.1,4001321,1963,71.1,6.1,685,5948,71.8
2007년 05월,3.2,5,2.4,10.9,82.1,1614.9,4006916,1866,71.4,6.2,704,4743,71.4
2007년 06월,3.2,5,2.6,10.9,82.1,1754.3,4012512,1893,71.7,6.1,778,4476,72.9
2007년 07월,3.3,5.1,2.5,10.9,82.4,1911.6,4018108,7338,72,6.2,840,5317,73.6
2007년 08월,3.1,5.2,2.6,11.4,82.4,1815,4023703,11719,72.3,6.4,730,5450,74.1
2007년 09월,3,5.3,2.4,11,82.9,1879,4029299,13182,72.7,6.5,724,4613,74.5
2007년 10월,3,5.3,2.6,10.8,83.1,2004.6,4034895,8146,73.1,6.6,977,6436,75
2007년 11월,3,5.4,2.5,11.3,83.1,1924.8,4040490,4768,73.6,6.6,1081,6540,74.8
2007년 12월,3.1,5.7,2.6,11.5,83.4,1904,4046086,7755,74,6.9,454,5941,75
2008년 01월,3.3,5.8,2.8,12.5,83.8,1732.3,4050376,1401,74.4,7.1,524,5375,75.9
2008년 02월,3.5,5.3,2.7,13.4,84.1,1689.5,4054665,2577,74.9,6.7,788,5624,76.9
2008년 03월,3.4,5.3,3.1,13.9,84.9,1651.2,4058955,1062,75.4,6.7,799,8971,78.4
2008년 04월,3.2,5.4,3.1,14.9,85.3,1776.6,4063245,14590,76,6.8,764,11791,80.2
2008년 05월,3.1,5.4,3.3,15.8,86.1,1846.8,4067534,6269,76.5,6.8,1016,7935,81.2
2008년 06월,3.1,5.4,3.5,15.1,86.6,1758.2,4071824,5053,77,6.8,1090,7054,82.1
2008년 07월,3.1,5.5,3.8,14.8,87.2,1569.6,4076114,4388,77.5,6.9,1437,5503,81.4
2008년 08월,3.1,5.8,3.7,14.7,87.1,1537.6,4080403,2409,78,7.2,1491,3336,81
2008년 09월,3,5.8,4.1,14.5,87.2,1446.6,4084693,1522,78.3,7.3,1530,2538,80
2008년 10월,3,6,4,14.2,87.1,1201.7,4088983,1521,78.1,7.6,1981,2385,77.5
2008년 11월,3,5.6,4.3,14,86.8,1074,4093272,1603,76,7.4,2263,1344,72.9
2008년 12월,3.3,4.7,4.5,13.1,86.8,1114.9,4097562,6022,73.3,6.8,2486,1491,68.8
2009년 01월,3.6,3.2,4,12,86.9,1156.4,4099154,764,72.6,5.6,2511,2570,71.2
2009년 02월,3.9,2.7,4,11.4,87.5,1139.8,4100745,1852,72.3,5.4,2460,4186,74
2009년 03월,4,2.5,3.3,11.1,88.2,1140.5,4102337,1256,72.3,5.4,2459,5361,74.6
2009년 04월,3.8,2.4,3.1,10.6,88.4,1322.1,4103928,1812,72.4,5.3,2295,7005,76.7
2009년 05월,3.8,2.4,3.1,9.9,88.4,1400.5,4105520,3359,72.6,5.3,2136,7348,77.9
2009년 06월,3.8,2.4,3,9.6,88.3,1395.2,4107111,1386,72.8,5.3,2085,8504,79.5
2009년 07월,3.7,2.4,2.7,9.7,88.6,1460,4108703,765,73,5.3,2060,9182,81
2009년 08월,3.7,2.5,2.8,10,89,1577.9,4110294,903,73.4,5.5,1960,8472,82.7
2009년 09월,3.3,2.6,2.6,10,89,1659.5,4111886,1663,73.7,5.8,1887,9426,83.5
2009년 10월,3.2,2.8,2.5,10.5,88.8,1630.6,4113477,2430,74,5.9,1778,7809,83.2
2009년 11월,3.3,2.8,2.4,9.7,89,1583.5,4115069,3520,74.1,5.9,1814,4722,82
2009년 12월,3.5,2.8,2.2,9.3,89.3,1646.6,4116660,16380,74.3,5.9,1803,4457,81.9
2010년 01월,5,2.9,2.4,9.3,90,1682.2,4125620,1273,74.5,5.9,1803,3870,83
2010년 02월,4.8,2.9,2.2,9.4,90.2,1599,4134580,1236,74.7,5.8,1813,4719,82.9
2010년 03월,4.1,2.8,1.7,9.3,90.3,1665.5,4143540,4699,74.9,5.5,1658,5075,82.5
2010년 04월,3.7,2.5,1.9,9.4,90.7,1730.3,4152500,2945,74.9,5.1,1575,3695,80.9
2010년 05월,3.2,2.5,1.7,9.3,90.8,1648.3,4161460,2417,74.9,4.8,1957,2811,79.8
2010년 06월,3.5,2.5,1.7,9.7,90.7,1691.9,4170421,1477,74.9,4.6,1979,2394,78.4
2010년 07월,3.7,2.6,1.8,9.3,90.9,1731.1,4179381,1718,74.8,4.7,1941,2437,78
2010년 08월,3.3,2.6,1.9,8.5,91.3,1762.2,4188341,2534,74.8,4.8,2085,2358,77.5
2010년 09월,3.4,2.7,1.8,8.1,92.1,1815.8,4197301,3516,74.7,4.8,2169,2455,78.5
2010년 10월,3.3,2.7,1.8,7.6,92.1,1889.7,4206261,2809,74.6,4.7,2506,3691,78.6
2010년 11월,3,2.7,1.5,7.4,91.6,1924.7,4215221,1867,74.6,4.7,2842,5632,79.4
2010년 12월,3.5,2.8,1.7,7.2,92,2002.5,4224181,42699,74.7,4.7,2729,7535,80.3
2011년 01월,3.8,2.9,1.9,6.5,93.1,2091.6,4221562,4907,74.8,4.8,2269,5868,81.7
2011년 02월,4.5,3.1,2.1,5,93.7,2002.9,4218943,4606,74.9,4.9,2216,6523,82.2
2011년 03월,4.3,3.4,2.4,4.3,94.1,2002.7,4216324,5098,75,4.9,2104,7279,82.1
2011년 04월,3.7,3.4,2.5,3.9,94.2,2153.1,4213705,10620,75.1,4.9,1855,5460,81.6
2011년 05월,3.2,3.5,2.7,3.7,94.3,2121.9,4211086,7303,75.2,4.9,1785,4654,81.1
2011년 06월,3.3,3.5,2.8,3,94.5,2074.6,4208467,7121,75.2,4.9,1825,4467,80.8
2011년 07월,3.3,3.6,2.8,3.2,95,2150.1,4205847,6380,75.3,4.9,1826,4096,80.9
2011년 08월,3,3.6,2.8,4,95.6,1869.4,4203228,3368,75.3,5,1767,4931,81.1
2011년 09월,3,3.6,2.6,4.2,95.5,1791,4200609,7276,75.4,5,1776,4868,81.2
2011년 10월,2.9,3.6,2.6,4.4,95.3,1825.9,4197990,3965,75.4,5,1821,4701,80.6
2011년 11월,2.9,3.6,2.8,4.4,95.4,1858.8,4195371,8405,75.4,5,1801,4568,79.9
2011년 12월,3,3.6,2.7,4.4,95.8,1863.2,4192752,19011,75.4,5,1861,6207,79
2012년 01월,3.5,3.6,2.4,4.8,96.2,1891,4191520,4428,75.5,5.1,1890,1536,78.7
2012년 02월,4.2,3.5,2.4,5.3,96.5,2003.2,4190288,6643,75.5,5,1703,3512,78.7
2012년 03월,3.7,3.5,1.8,5.7,96.6,2023.4,4189057,6279,75.6,5,1732,4087,78.3
2012년 04월,3.5,3.5,1.6,5.5,96.6,1995.9,4187825,6109,75.7,4.9,1691,4214,77.7
2012년 05월,3.1,3.5,1.5,5.5,96.7,1886.4,4186593,5980,75.7,4.9,1703,3785,77.8
2012년 06월,3.2,3.5,1.4,5.9,96.6,1848.6,4185361,6865,75.8,4.8,1698,3187,76.8
2012년 07월,3.1,3.3,1.2,6,96.4,1826.8,4184129,10417,75.7,4.6,3146,2952,76.2
2012년 08월,3,3.2,1.2,5.7,96.8,1918.9,4182897,7686,75.7,4.4,3847,2398,75.2
2012년 09월,2.9,3.1,1.4,5.2,97.5,1961.3,4181666,6108,75.7,4.3,3754,2227,75
2012년 10월,2.8,2.9,1.4,4.6,97.3,1942.2,4180434,6806,75.7,4.2,3700,4239,75
2012년 11월,2.8,2.9,1.4,4.4,97,1904.7,4179202,8729,75.7,4.2,3594,5069,74.9
2012년 12월,2.9,2.9,1.3,4.5,97.2,1973.8,4177970,10073,75.7,4.2,3481,7565,74
2013년 01월,3.4,2.9,1.5,4.8,97.8,1986.1,4178335,3789,75.7,4.2,3415,1213,74.6
2013년 02월,3.9,2.8,1.4,5.3,98.1,1979.9,4178700,3090,75.7,4.1,3308,3189,74.7
2013년 03월,3.5,2.8,1.5,5,98,1990.2,4179065,4127,75.8,4,3168,5466,75.4
2013년 04월,3.2,2.8,1.5,5.1,97.9,1938.9,4179430,5314,75.9,3.9,3035,6603,75.7
2013년 05월,3,2.7,1.6,4.8,97.9,1974.5,4179795,6206,76,3.8,2908,7677,76.1
2013년 06월,3.1,2.7,1.5,4.9,97.7,1884.4,4180161,6809,76.1,3.7,2722,10237,75.4
2013년 07월,3.1,2.7,1.5,4.6,97.9,1871.8,4180526,10730,76.1,3.8,2581,2201,75.6
2013년 08월,3,2.7,1.3,3.9,98.3,1897,4180891,8794,76.1,3.8,3970,3179,75.8
2013년 09월,2.7,2.7,1.5,4.6,98.5,1984.4,4181256,5552,76.2,3.8,4331,4774,76.6
2013년 10월,2.7,2.7,1.6,4.7,98.2,2029.7,4181621,5493,76.3,3.8,3808,8537,77.1
2013년 11월,2.6,2.7,1.7,5.1,98.2,2009.9,4181986,5400,76.5,3.8,3568,7868,76.9
2013년 12월,3,2.7,1.6,5.3,98.3,1988.3,4182351,12317,76.6,3.7,3157,7758,76.3
2014년 01월,3.4,2.7,1.5,5.2,98.8,1948.2,4183336,4111,76.8,3.8,2905,5493,77.3
2014년 02월,4.5,2.7,1.4,5.2,99.1,1937.7,4184322,3001,76.9,3.7,2734,7864,77.8
2014년 03월,3.9,2.7,1.7,5.5,99.3,1952.4,4185307,4259,77.2,3.7,2259,9522,78.2
2014년 04월,3.8,2.7,1.9,5.5,99.3,1991.2,4186293,5989,77.3,3.7,2185,8639,77.8
2014년 05월,3.5,2.7,1.8,6,99.5,1994.1,4187278,7802,77.5,3.6,2241,6079,77.8
2014년 06월,3.5,2.7,1.7,6.1,99.4,1995.1,4188264,10190,77.6,3.6,2601,5259,78
2014년 07월,3.4,2.7,1.9,6.5,99.5,2022,4189249,4375,77.8,3.5,2492,6235,78
